h,Fkplin,Fkpexp,Fkprec
0,7.333735,7.086453,.6236565
1,8.944021,8.299945,1.082337
2,12.86105,11.6266,1.845577
3,16.92817,14.51324,28.08185
4,19.21865,15.45522,149.6699
5,19.57441,15.15664,377.6512
6,19.26201,14.54208,546.1987
7,19.38477,14.57587,478.5682
8,19.23989,14.8144,399.7946
9,18.34508,14.67725,340.8671
10,16.85608,13.98433,266.9066
11,15.44423,13.08304,185.0549
12,14.22782,12.16907,142.2952
13,13.10875,11.22555,111.2706
14,12.06254,10.29358,99.16224
15,11.2173,9.573904,93.80727
16,10.72886,9.120358,85.36002
17,10.51017,8.923186,82.17677
18,10.46737,8.903401,80.10602
19,10.46716,8.998209,75.52771
20,10.42606,9.113448,75.15446
