h,multlin2,multexp2,multrec2
0,1.306459,1.41231,7.069991
1,1.059822,1.051212,-1.00198
2,.8468219,.7965073,7.70119
3,.7055418,.6263686,2.620465
4,.6799143,.5826001,2.435432
5,.6762587,.5694255,2.17743
6,.6768119,.5657667,1.855862
7,.6631675,.5529171,1.584987
8,.6684276,.5591328,1.333217
9,.6874022,.5849442,1.155261
10,.7060671,.6085187,1.079265
11,.7158216,.6224887,1.020224
12,.7175141,.6255701,.9841809
13,.7170846,.6245242,.966425
14,.7155129,.620023,.9543692
15,.7116358,.6114719,.9408408
16,.7079198,.6018262,.9299288
17,.7081277,.5940455,.9257744
18,.7123507,.5907421,.9251702
19,.719946,.5900335,.9291945
20,.7263442,.5873762,.9323302
