h,Critlin,Critexp,Critrec
0,,,
1,20.86502,18.35436,22.33324
2,19.48128,17.43368,22.7203
3,18.47074,17.0601,22.39572
4,17.4567,17.15764,22.13214
5,15.90558,15.90718,21.9034
6,14.42904,14.35724,20.27455
7,13.18891,13.16648,17.22266
8,12.23428,11.97051,15.81228
9,11.8861,11.10699,14.72216
10,11.92433,10.85158,13.97009
11,12.28084,11.00317,13.03686
12,12.83146,11.50726,13.24362
13,13.55926,12.5346,13.33424
14,14.54501,13.73605,14.25102
15,15.45643,14.69604,15.1741
16,16.0461,15.21886,16.47641
17,16.27615,15.39989,17.22664
18,16.35276,15.41512,18.35164
19,16.3026,15.14903,19.14991
20,16.28189,14.83741,19.58067
