h,Fdifflin,Fdiffexp,Fdiffrec
0,30,30,30
1,30,30,30
2,30,30,-6.189767
3,30,30,-7.755376
4,30,30,-1.632148
5,29.35665,29.98582,9.623044
6,25.70921,25.46189,30
7,23.51207,22.86443,30
8,20.0196,20.18728,30
9,16.48002,17.79825,30
10,12.64178,14.53584,30
11,9.123703,11.24719,30
12,6.272595,8.323757,30
13,3.678801,5.279354,30
14,1.022261,2.24643,29.71703
15,-1.017842,.063553,21.47831
16,-2.23658,-1.092682,15.35899
17,-2.691923,-1.441058,9.756332
18,-2.727727,-1.28956,5.732325
19,-2.533651,-.6147683,3.18112
20,-2.454984,.0850699,1.552118
