h,Fefflin,Feffexp,Feffrec
0,,,
1,220.4076,306.8655,57.64214
2,84.70626,94.60987,16.53053
3,67.96066,75.37513,14.64034
4,56.20141,60.1565,20.49999
5,45.26223,45.893,31.52644
6,40.13825,39.81913,86.03217
7,36.70098,36.03091,149.4204
8,32.25388,32.15779,140.3419
9,28.36612,28.90524,127.9178
10,24.56611,25.38742,106.4151
11,21.40454,22.25036,82.55029
12,19.10406,19.83102,65.18466
13,17.23806,17.81395,52.59446
14,15.56727,15.98248,43.96805
15,14.43859,14.75959,36.65241
16,13.80952,14.12618,31.83541
17,13.58423,13.95883,26.98297
18,13.62503,14.12556,24.08397
19,13.76895,14.53426,22.33103
20,13.82691,14.92248,21.13279
